config,arm,seed,participation_rate,basin,honest_given_rating,attacks_attempted_stored,total_ratings_final_ep,mean_score_stored,attacks_attempted,attacks_blocked,hold_rate,rho_defined,rho_stored,rho_recomputed,rho_matches_stored,mae_stored,score_std,n_distinct_scores,qual_std,n_score_points,rescore_ok
c11,B,26,1.0,honest-dominant,1.0,0,2000,0.4918315106017911,0,0,,1,-0.11048112800705004,-0.11048112800705004,1,0.3122705872955857,0.0569071167497221,400,0.12266628813573002,400,1
c11,B,27,1.0,honest-dominant,1.0,0,2000,0.8016443442216918,0,0,,1,0.9255196594978718,0.9255196594978718,1,0.036338343337741746,0.12347623979568363,400,0.12266628813573002,400,1
c11,B,28,0.3,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,29,1.0,honest-dominant,1.0,0,2000,0.4443864088267473,0,0,,1,-0.37125438283989276,-0.37125438283989276,1,0.36098536557850935,0.05874799916563887,400,0.12266628813573002,400,1
c2,A,0,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c2,A,1,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c2,A,2,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c2,A,3,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c2,A,4,0.387175,honest-dominant,1.0,0,770,0.20196548893676164,0,0,,1,-0.8598479365496033,-0.8598479365496033,1,0.5888383841165974,0.12642860099816325,400,0.12266628813573002,400,1
c2,A,5,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397530609566309,0.9397530609566309,1,0.03121976161864973,0.12877795358815466,400,0.12266628813573002,400,1
c2,A,6,0.716075,honest-dominant,1.0,0,1417,0.8134415376381128,0,0,,1,0.9212011325070781,0.9212011325070781,1,0.03560988863057469,0.13030441708313528,400,0.12266628813573002,400,1
c2,A,7,0.121725,honest-dominant,1.0,0,218,0.21507158668728482,0,0,,1,-0.6993679335495845,-0.6993679335495845,1,0.5775093084371536,0.15425505254455082,400,0.12266628813573002,400,1
c2,A,8,0.413475,honest-dominant,1.0,0,817,0.2651754342153665,0,0,,1,-0.7089213057581609,-0.7089213057581609,1,0.5136767731533032,0.11078355829579967,400,0.12266628813573002,400,1
c2,A,9,0.948725,honest-dominant,1.0,0,1891,0.7996085661610637,0,0,,1,0.9347066544165901,0.9347066544165901,1,0.031017124165709217,0.12817611297925532,400,0.12266628813573002,400,1
c2,A,10,0.762475,honest-dominant,1.0,0,1501,0.19064259456351917,0,0,,1,-0.9055040969006056,-0.9055040969006056,1,0.5934376714179359,0.12741603337946553,400,0.12266628813573002,400,1
c2,A,11,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
