config,arm,seed,participation_rate,basin,mean_ci_width,n_alpha_plus_beta,applied_evidence,all_scores_half,total_ratings_last_ep,rating_actions,total_actions,applied_per_agent_step,n_agents,rho_defined
c3,B,1,1.0,honest-dominant,0.12501952753651255,170.7005579411489,166.7005579411489,0,2000,40000,40000,1.0,20,1
c3,B,2,0.894525,honest-dominant,0.09347344292859674,339.5030547561799,335.5030547561799,0,1778,35781,40000,0.889,20,1
c3,B,3,1.0,honest-dominant,0.08821727973954951,384.66922770260487,380.66922770260487,0,2000,40000,40000,1.0,20,1
c3,B,4,1.0,honest-dominant,0.08912979735384505,384.467376340509,380.467376340509,0,2000,40000,40000,1.0,20,1
c3,B,5,1.0,honest-dominant,0.13447436271210234,116.05285710408981,112.05285710408981,0,2000,40000,40000,1.0,20,1
c3,B,6,1.0,honest-dominant,0.1481215505662785,167.87767448917756,163.87767448917756,0,2000,40000,40000,1.0,20,1
c3,B,7,0.999975,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,39999,40000,1.0,20,1
c3,B,8,1.0,honest-dominant,0.11408488246848474,257.6644358970049,253.66443589700492,0,2000,40000,40000,1.0,20,1
c3,B,9,1.0,honest-dominant,0.12154670234043355,253.06570699347543,249.06570699347543,0,2000,40000,40000,1.0,20,1
c3,B,10,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c3,B,11,0.999975,honest-dominant,0.15927654346162812,118.74200173437718,114.74200173437718,0,2000,39999,40000,1.0,20,1
c3,B,12,1.0,honest-dominant,0.07599840017882584,375.6551608277845,371.6551608277845,0,2000,40000,40000,1.0,20,1
c3,B,13,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c3,B,14,1.0,honest-dominant,0.12102956491609088,213.08732241892451,209.08732241892451,0,2000,40000,40000,1.0,20,1
c3,B,15,1.0,honest-dominant,0.16506695651595688,134.1299135570982,130.1299135570982,0,2000,40000,40000,1.0,20,1
c3,B,16,1.0,honest-dominant,0.10340151641299629,341.9676193659452,337.9676193659452,0,2000,40000,40000,1.0,20,1
c3,B,17,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c3,B,18,1.0,honest-dominant,0.0890433675034091,385.7912138738689,381.7912138738689,0,2000,40000,40000,1.0,20,1
c3,B,19,1.0,honest-dominant,0.139173689860894,135.1863303435447,131.1863303435447,0,2000,40000,40000,1.0,20,1
c3,B,20,1.0,honest-dominant,0.12237424159614252,211.17283248719528,207.17283248719528,0,2000,40000,40000,1.0,20,1
c3,B,21,0.65385,honest-dominant,0.09007372623166607,252.45192891624976,248.45192891624976,0,1234,26154,40000,0.617,20,1
c3,B,22,1.0,honest-dominant,0.1431192929648927,113.57334339167092,109.57334339167092,0,2000,40000,40000,1.0,20,1
c3,B,23,1.0,honest-dominant,0.1029197445751725,353.38380525174654,349.38380525174654,0,2000,40000,40000,1.0,20,1
c3,B,24,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c3,B,25,1.0,honest-dominant,0.1434287002516475,111.33762886964774,107.33762886964774,0,2000,40000,40000,1.0,20,1
c3,B,26,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c3,B,27,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c3,B,28,1.0,honest-dominant,0.08375482067392355,388.3389694649366,384.3389694649366,0,2000,40000,40000,1.0,20,1
c3,B,29,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c4,A,0,0.999925,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,39997,40000,1.0,20,1
c4,A,1,0.4439,honest-dominant,0.1943174497137662,55.64926906790494,51.64926906790494,0,891,17756,40000,0.4455,20,1
c4,A,2,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c4,A,3,0.99935,honest-dominant,0.08231275374564273,339.6366803473168,335.6366803473168,0,2000,39974,40000,1.0,20,1
c4,A,4,0.085775,honest-dominant,0.36302352561909335,17.617822509263334,13.617822509263334,0,175,3431,40000,0.0875,20,1
c4,A,5,0.9948,honest-dominant,0.10796411456969393,316.75021911376047,312.75021911376047,0,2000,39792,40000,1.0,20,1
c4,A,6,0.996275,honest-dominant,0.10354341036422747,311.4592108226029,307.4592108226029,0,2000,39851,40000,1.0,20,1
c4,A,7,0.992275,honest-dominant,0.11990017408414247,211.4161172149685,207.4161172149685,0,1999,39691,40000,0.9995,20,1
c4,A,8,0.3947,honest-dominant,0.16901594990362284,123.37920978463997,119.37920978463997,0,804,15788,40000,0.402,20,1
c4,A,9,0.8001,honest-dominant,0.08826682879452943,285.5203877882281,281.5203877882281,0,1589,32004,40000,0.7945,20,1
c4,B,0,0.95995,honest-dominant,0.13819168206754529,114.00630542399841,110.00630542399841,0,1921,38398,40000,0.9605,20,1
c4,B,1,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c4,B,2,1.0,honest-dominant,0.12739457836598497,172.55616805116927,168.55616805116927,0,2000,40000,40000,1.0,20,1
c4,B,3,1.0,honest-dominant,0.10038244418840477,361.08857490443745,357.08857490443745,0,2000,40000,40000,1.0,20,1
c4,B,4,0.991325,honest-dominant,0.13820158366030538,110.74342281041616,106.74342281041616,0,1958,39653,40000,0.979,20,1
c4,B,5,1.0,honest-dominant,0.11634013649128397,276.5489124415158,272.5489124415158,0,2000,40000,40000,1.0,20,1
c4,B,6,1.0,honest-dominant,0.12226037480836686,242.24926671627807,238.24926671627807,0,2000,40000,40000,1.0,20,1
c4,B,7,1.0,honest-dominant,0.07904703015072007,386.1966591429817,382.1966591429817,0,2000,40000,40000,1.0,20,1
c4,B,8,1.0,honest-dominant,0.07944864072118007,387.604290328175,383.604290328175,0,2000,40000,40000,1.0,20,1
c4,B,9,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c5,A,0,0.154,honest-dominant,0.24016415109195838,50.62454306055705,46.62454306055705,0,282,6160,40000,0.141,20,1
c5,A,1,1.0,adversarial-dominant,0.23499759097055936,35.11120130175909,31.11120130175909,0,159,40000,40000,0.0795,20,1
c5,A,2,0.54675,honest-dominant,0.1916983546307948,57.296605371988576,53.296605371988576,0,1108,21870,40000,0.554,20,1
c5,A,3,1.0,honest-dominant,0.09606987941491589,331.716730700094,327.716730700094,0,2000,40000,40000,1.0,20,1
c5,A,4,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c5,A,5,0.162925,honest-dominant,0.18090087001735605,64.18994420164442,60.18994420164442,0,329,6517,40000,0.1645,20,1
c5,A,6,1.0,honest-dominant,0.10473935786173441,308.52983239101457,304.52983239101457,0,2000,40000,40000,1.0,20,1
c5,A,7,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c5,A,8,0.2375,honest-dominant,0.2599675995175959,49.584999921980604,45.584999921980604,0,482,9500,40000,0.241,20,1
c5,A,9,0.11175,honest-dominant,0.3152546141449232,31.697435025867712,27.697435025867712,0,229,4470,40000,0.1145,20,1
c5,B,0,1.0,honest-dominant,0.1441557285392352,170.23889532956176,166.23889532956176,0,2000,40000,40000,1.0,20,1
c5,B,1,1.0,honest-dominant,0.16289244986161616,139.4786602921341,135.4786602921341,0,2000,40000,40000,1.0,20,1
c5,B,2,1.0,honest-dominant,0.13526561446420976,186.69939162889497,182.69939162889497,0,2000,40000,40000,1.0,20,1
c5,B,3,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c5,B,4,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c5,B,5,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c5,B,6,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c5,B,7,1.0,honest-dominant,0.07265446634627928,383.0340041081392,379.0340041081392,0,2000,40000,40000,1.0,20,1
c5,B,8,1.0,honest-dominant,0.0887714807887525,385.6715661112494,381.6715661112494,0,2000,40000,40000,1.0,20,1
c5,B,9,1.0,honest-dominant,0.1001662042035878,364.4531184135143,360.4531184135143,0,2000,40000,40000,1.0,20,1
c6,A,0,0.994625,honest-dominant,0.07141129315198652,387.54296712084687,383.54296712084687,0,1995,39785,40000,0.9975,20,1
c6,A,1,0.865375,adversarial-dominant,0.35824080527964924,23.56504839876346,19.56504839876346,0,167,34615,40000,0.0835,20,1
c6,A,2,0.78125,honest-dominant,0.07861032987148993,297.93483697829294,293.93483697829294,0,1582,31250,40000,0.791,20,1
c6,A,3,1.0,adversarial-dominant,0.3936561313084978,13.99796569245875,9.99796569245875,0,159,40000,40000,0.0795,20,1
c6,A,4,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
