config,arm,seed,rho,tau_a,score_std,collapsed
c3,A,24,-0.8042530890818067,-0.6095989974937344,0.0924519224080438,0
c3,A,25,-0.6380889880561753,-0.4630075187969925,0.11351292495914099,0
c3,A,26,-0.7898327489546809,-0.5945112781954888,0.12204113524567764,0
c3,A,27,0.9469499184369901,0.802907268170426,0.12894116521967264,0
c3,A,28,-0.9249498434365215,-0.7692731829573934,0.12786789884628932,0
c3,A,29,0.23294620591378692,0.15666666666666668,0.05588392509502078,0
c3,B,0,-0.6182397389983686,-0.44360902255639095,0.07557196876525375,0
c3,B,1,-0.8703961899761873,-0.6894486215538848,0.10492764073912578,0
c3,B,2,0.8477811111319445,0.6568671679197995,0.09736041541253852,0
c3,B,3,0.8137337108356927,0.6267919799498747,0.09149185379450239,0
c3,B,4,0.8140813380083625,0.6240350877192983,0.09088595406258718,0
c3,B,5,-0.9245527159544746,-0.7677443609022556,0.12537338321560784,0
c3,B,6,-0.36580841130257064,-0.2498997493734336,0.06069401262738919,0
c3,B,7,0.9393879961749761,0.7916290726817042,0.1286976536468244,0
c3,B,8,-0.7253608460052875,-0.5329323308270677,0.07807468859752069,0
c3,B,9,-0.10097913111956948,-0.06754385964912281,0.05361738985333075,0
c3,B,10,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c3,B,11,-0.7868756679729247,-0.5971177944862155,0.09424492976407056,0
c3,B,12,0.9249104681904261,0.7657644110275689,0.12362043540084049,0
c3,B,13,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c3,B,14,0.7879785498659366,0.5943107769423559,0.08990079291610975,0
c3,B,15,-0.2819966999793748,-0.1906766917293233,0.05827952585823593,0
c3,B,16,0.48351527197044974,0.336390977443609,0.059852024317792706,0
c3,B,17,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c3,B,18,0.8312915080719253,0.6405764411027569,0.08953886382999435,0
c3,B,19,-0.8830581441134007,-0.7081203007518797,0.1094001205884094,0
c3,B,20,-0.7813597584984905,-0.5899498746867168,0.09012788875416188,0
c3,B,21,0.9265209157557235,0.7668170426065163,0.1281697472057283,0
c3,B,22,-0.903096019350121,-0.7366917293233083,0.12025250404737456,0
c3,B,23,0.3141182757392233,0.21591478696741856,0.05246391013929565,0
c3,B,24,,0.0,0.0,1
c3,B,25,-0.8886462415390095,-0.7156390977443609,0.1197781886983606,0
c3,B,26,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c3,B,27,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
